"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2024","1,422.41","1,407.76","1,422.85","1,403.23","14.99M","1.22%"
"02/16/2024","1,405.32","1,408.86","1,415.00","1,401.87","18.40M","0.13%"
"02/15/2024","1,403.50","1,410.03","1,414.76","1,398.00","20.65M","-0.13%"
"02/14/2024","1,405.38","1,386.11","1,406.42","1,384.02","25.04M","1.44%"
"02/13/2024","1,385.47","1,393.20","1,396.42","1,383.44","22.40M","-0.62%"
"02/12/2024","1,394.08","1,402.85","1,407.25","1,390.45","14.62M","-0.49%"
"02/09/2024","1,401.01","1,409.00","1,412.53","1,400.93","17.65M","-0.28%"
"02/08/2024","1,404.88","1,396.97","1,405.28","1,389.66","21.34M","0.55%"
"02/07/2024","1,397.14","1,405.53","1,407.71","1,382.38","24.29M","-0.47%"
"02/06/2024","1,403.76","1,398.79","1,404.48","1,392.20","39.76M","0.56%"
"02/05/2024","1,395.99","1,389.39","1,397.57","1,384.81","34.83M","0.79%"
"02/02/2024","1,385.01","1,382.58","1,392.27","1,382.58","33.61M","0.61%"
"02/01/2024","1,376.62","1,367.92","1,376.62","1,362.14","36.53M","0.67%"
"01/31/2024","1,367.41","1,357.22","1,378.10","1,357.22","33.25M","0.91%"
"01/30/2024","1,355.12","1,350.72","1,358.19","1,346.76","20.76M","0.31%"
"01/29/2024","1,350.95","1,359.50","1,359.50","1,349.61","15.94M","-0.73%"
"01/26/2024","1,360.89","1,350.84","1,360.93","1,346.43","16.04M","0.59%"
"01/25/2024","1,352.86","1,362.39","1,363.78","1,344.94","21.38M","-0.67%"
"01/24/2024","1,362.05","1,356.21","1,362.91","1,354.58","19.16M","0.66%"
"01/23/2024","1,353.14","1,351.53","1,359.36","1,349.57","21.07M","0.12%"
"01/22/2024","1,351.56","1,341.02","1,352.18","1,339.96","18.08M","0.86%"
"01/19/2024","1,340.03","1,343.13","1,349.15","1,336.43","24.32M","-0.08%"
"01/18/2024","1,341.10","1,331.18","1,344.02","1,330.79","16.73M","0.73%"
"01/17/2024","1,331.34","1,327.80","1,340.02","1,319.35","28.02M","-0.08%"
"01/16/2024","1,332.47","1,350.66","1,350.66","1,332.23","19.24M","-1.55%"
"01/15/2024","1,353.46","1,351.61","1,354.71","1,344.98","14.01M","0.06%"
"01/12/2024","1,352.65","1,351.56","1,353.30","1,339.66","18.39M","0.35%"
"01/11/2024","1,347.90","1,348.96","1,354.04","1,347.06","27.74M","0.25%"
"01/10/2024","1,344.51","1,340.42","1,345.63","1,337.77","18.62M","0.25%"
"01/09/2024","1,341.10","1,331.90","1,348.77","1,331.90","27.19M","0.79%"
"01/08/2024","1,330.61","1,313.78","1,330.68","1,310.87","22.96M","1.44%"
"01/05/2024","1,311.67","1,310.19","1,312.32","1,302.66","15.10M","0.06%"
"01/04/2024","1,310.87","1,302.52","1,311.96","1,301.13","17.45M","0.73%"
"01/03/2024","1,301.34","1,307.70","1,308.76","1,299.09","15.22M","-0.48%"
"01/02/2024","1,307.63","1,296.45","1,311.86","1,296.45","11.97M","1.12%"
"12/29/2023","1,293.14","1,285.27","1,298.27","1,285.27","14.30M","0.58%"
"12/28/2023","1,285.65","1,294.71","1,296.57","1,283.27","9.34M","-0.58%"
"12/27/2023","1,293.19","1,292.41","1,298.43","1,290.43","11.90M","0.18%"
"12/22/2023","1,290.89","1,296.34","1,297.96","1,289.86","17.75M","-0.59%"
"12/21/2023","1,298.56","1,302.25","1,302.25","1,295.41","12.02M","-0.25%"
"12/20/2023","1,301.81","1,299.12","1,303.70","1,297.13","14.76M","0.26%"
"12/19/2023","1,298.48","1,285.68","1,302.34","1,285.68","24.33M","0.87%"
"12/18/2023","1,287.22","1,288.92","1,290.72","1,284.69","17.65M","-0.28%"
"12/15/2023","1,290.79","1,296.68","1,298.24","1,285.93","37.57M","-0.35%"
"12/14/2023","1,295.37","1,298.16","1,304.74","1,293.95","23.89M","0.23%"
"12/13/2023","1,292.35","1,284.26","1,292.52","1,284.26","18.10M","0.72%"
"12/12/2023","1,283.12","1,277.12","1,284.34","1,275.83","18.41M","0.60%"
"12/11/2023","1,275.50","1,275.83","1,276.92","1,271.89","12.54M","0.03%"
"12/08/2023","1,275.09","1,272.85","1,275.51","1,268.04","49.18M","0.14%"
"12/07/2023","1,273.33","1,273.45","1,276.67","1,270.39","21.63M","-0.01%"
"12/06/2023","1,273.48","1,272.10","1,275.82","1,268.88","15.14M","0.25%"
"12/05/2023","1,270.35","1,273.74","1,276.64","1,258.03","29.93M","-0.39%"
"12/04/2023","1,275.34","1,283.48","1,284.54","1,273.87","18.26M","-0.37%"
"12/01/2023","1,280.11","1,272.19","1,280.48","1,272.19","13.78M","0.39%"
"11/30/2023","1,275.13","1,273.24","1,275.41","1,269.68","48.11M","0.31%"
"11/29/2023","1,271.20","1,266.05","1,272.37","1,265.99","21.25M","0.51%"
"11/28/2023","1,264.69","1,263.99","1,266.66","1,259.13","20.98M","-0.05%"
"11/27/2023","1,265.36","1,260.06","1,267.31","1,255.65","22.66M","0.53%"
"11/24/2023","1,258.73","1,261.32","1,262.42","1,251.50","14.06M","-0.14%"
"11/23/2023","1,260.52","1,256.58","1,260.65","1,254.50","16.45M","0.14%"
"11/22/2023","1,258.74","1,245.78","1,258.86","1,243.12","28.85M","1.33%"
"11/21/2023","1,242.20","1,253.27","1,259.12","1,242.02","68.97M","-0.51%"
"11/20/2023","1,248.63","1,252.66","1,260.00","1,245.38","25.61M","-0.14%"
"11/17/2023","1,250.44","1,239.03","1,263.82","1,239.03","216.14M","0.89%"
